Ocupacionu Ofic	casos
Agentes comerciales y corredores	370
Agentes de la administración pública en aduanas, impuestos y afines	21
Agentes y policías de tránsito	79
Agricultores y trabajadores forestales, pecuarios y pesqueros	654
Ama de casa / Encargado (a) del hogar	1011
Arquitectos, ingenieros y afines	90
Artesanos (as)	76
Asesores comerciales y corredores	169
Asistentes en trabajo social y comunitario	21
Astrólogos, adivinadores, quirománticos y afines	1
Atletas, deportistas y afines	47
Auxiliares administrativos y afines	163
Auxiliares de la Policía Nacional	61
Cajeros, taquilleros y afines	23
Catalogadores, bibliotecarios, documentalistas y afines	4
Compositores, músicos y cantantes	27
Conductores de vehículos de motor	1056
Conductores de vehículos y operadores de equipos pesados móviles	80
Delineantes y dibujantes técnicos	7
Dirigentes y administradores de partidos políticos, sindicatos y organizaciones especializadas	7
Electrotécnicos	143
Empleados de los servicios de correo	22
Empleados de servicios de información a clientes	88
Encargado (a) del hogar –Rol del Hogar- Ama de Casa	30
Encargados de servicios de apoyo a la producción	47
Escritores, artistas creativos y ejecutantes	17
Escritores, periodistas y afines	16
Estudiante	3721
Guardianes de prisión	10
Inspectores de obras, seguridad social y salud y control de calidad	16
Inspectores de policía, detectives y afines	7
Inspectores de seguridad y salud y control de calidad	6
Instructores de educación no formal, vocacional y afines	7
Limpiabotas y otros trabajadores callejeros	38
Locutores de radio, televisión y afines	10
Mecánicos y ajustadores de máquinas y equipos	394
Médicos, profesionales en ciencias de la salud y afines	70
Mensajeros, porteadores y repartidores	126
Mensajeros, porteros, conserjes, vigilantes y afines	60
Miembros de las Fuerzas Armadas y de Policía	182
Miembros del Poder Ejecutivo, de los cuerpos legislativos y personal directivo adm, Pública	5
Mineros, canteros, pegadores y labrantes de piedra	64
Modelos de modas, arte y publicidad	15
Músicos, cantantes y bailarines callejeros, de cabaret y afines	14
Obreros del transporte	64
Ocupaciones al Margen de la Ley	8
Ocupaciones ilícitas	32
Oficiales de la Policía Nacional	45
Oficiales y operarios de la construcción	1758
Oficiales y operarios de las artes gráficas y afines	22
Oficios varios	4222
Operadores de equipos ópticos y electrónicos	49
Operadores de maquinaria agrícola móvil y de otras máquinas móviles	44
Operarios de la madera	161
Operarios de la metalurgia y afines	122
Operarios de los textiles, de la confección y afines	107
Operarios de pieles, cuero y calzado	130
Operarios del procesamiento de alimentos y afines	120
Otras ocupaciones no clasificadas	816
Otros técnicos no especificados	232
Otros trabajadores empleados sin ocupación especificada	1334
Otros trabajadores independientes sin ocupación especificada	1779
Otros trabajadores informales sin ocupación especificada	114
Pensionados / Jubilados	144
Personal al servicio directo de los pasajeros	13
Personal de los servicios de protección y seguridad	62
Personal de servicios de protección y seguridad	29
Personal de servicios de restaurantes, alimentos y bebidas	157
Personal doméstico, aseadores, lavanderos, Planchadores y afines	53
Practicantes de la medicina tradicional y curanderos	2
Prestamistas, cobradores y afines	36
Profesionales de la educación	103
Profesionales de la informática	8
Profesionales de las Ciencias Físicas, Químicas y Matemáticas	18
Profesionales del derecho	87
Profesionales en ciencias biológicas y otras disciplinas relativas a los seres orgánicos	9
Profesionales en ciencias económicas, sociales y humanas	20
Profesionales en informática	7
Profesionales en organización, administración de empresas, análisis financiero y afines	59
Publicistas y afines	12
Reclusos en centro penitenciario	83
Recolectores de basura y afines	33
Recolectores de material reciclable	332
Recreadores, payasos, acróbatas, prestidigitadores y afines	3
Representantes comerciales y técnicos de ventas	334
Sacerdotes y religiosos de distintas doctrinas	3
Soldados de las Fuerzas Militares	326
Técnicos en diseño y decoradores	18
Técnicos en navegación marítima y aeronáutica	4
Técnicos en programación y control informáticos	8
Técnicos y asistentes de la medicina y la salud	78
Técnicos y postsecundarios no universitarios en ciencias biológicas, agronomía y afines	4
Técnicos y postsecundarios no universitarios en ciencias físicas, químicas e ingeniería	2
Técnicos, postsecundarios no universitarios y asistentes de la medicina moderna y la salud	8
Trabajador (a) sexual	40
Trabajadores de los cuidados personales y afines	67
Trabajo familiar sin remuneración (Ejercido por otro miembro de la familia diferente al cónyuge)	71
Vendedores a domicilio y por teléfono	71
Vendedores ambulantes	957
Vendedores en quioscos y puestos fijos de mercado	175
Vendedores y demostradores de tiendas, almacenes y afines	196
Vigilantes y celadores	224
Ninguna	2681
NO APLICA	31
Sin información	517
Total general	27319
