year	month	day	00:00-2:59	3:00-5:59	6:00-8:59	9:00-11:59	12:00-14:59	15:00-17:59	18:00-20:59	21:00-23:59	Sin dato	Total General
2017	0	0	1423	1010	1076	1810	1372	1943	2031	2139	543	13347
2017	1	0	127	70	100	152	106	162	166	179	48	1110
2017	1	1	10	8	13	14	6	8	6	5	10	80
2017	1	2	3	0	0	1	2	2	4	5	2	19
2017	1	3	0	0	1	3	3	4	4	0	3	18
2017	1	4	1	1	1	9	0	3	7	4	0	26
2017	1	5	0	0	3	2	1	2	1	3	1	13
2017	1	6	1	2	4	4	6	6	3	5	0	31
2017	1	7	13	3	1	1	6	4	5	7	1	41
2017	1	8	10	3	5	7	2	2	9	6	0	44
2017	1	9	13	8	4	4	2	6	3	3	2	45
2017	1	10	4	4	1	9	1	5	6	3	1	34
2017	1	11	1	1	0	5	1	4	9	5	0	26
2017	1	12	1	2	4	6	1	6	5	6	3	34
2017	1	13	0	0	7	4	2	3	3	6	0	25
2017	1	14	2	0	3	2	2	5	7	11	3	35
2017	1	15	9	12	5	5	6	8	2	13	0	60
2017	1	16	6	0	3	4	6	8	6	6	6	45
2017	1	17	0	0	3	3	4	7	13	8	1	39
2017	1	18	0	0	4	3	4	3	5	5	0	24
2017	1	19	0	1	4	4	6	5	7	7	2	36
2017	1	20	1	3	4	5	4	4	13	8	0	42
2017	1	21	4	1	2	2	1	3	3	7	0	23
2017	1	22	14	8	1	5	8	14	8	6	5	69
2017	1	23	3	2	4	5	3	12	7	2	1	39
2017	1	24	1	1	2	4	5	5	2	7	0	27
2017	1	25	4	1	2	3	7	6	3	5	0	31
2017	1	26	1	0	3	6	2	3	1	5	1	22
2017	1	27	3	1	4	13	3	6	3	1	2	36
2017	1	28	6	4	1	2	2	2	6	7	1	31
2017	1	29	12	3	6	8	4	7	7	11	2	60
2017	1	30	2	1	4	5	1	6	5	6	0	30
2017	1	31	2	0	1	4	5	3	3	6	1	25
2017	2	0	113	83	80	134	122	182	211	185	61	1171
2017	2	1	2	4	1	3	3	5	3	2	2	25
2017	2	2	3	2	2	6	6	10	6	7	3	45
2017	2	3	4	0	1	0	2	4	9	3	4	27
2017	2	4	3	0	2	5	2	10	10	8	2	42
2017	2	5	9	6	4	7	4	13	13	8	0	64
2017	2	6	3	5	2	9	2	5	8	2	6	42
2017	2	7	3	1	3	5	2	5	11	7	1	38
2017	2	8	0	0	2	4	4	7	2	4	2	25
2017	2	9	0	1	2	3	4	10	12	9	0	41
2017	2	10	2	3	5	9	10	5	5	4	3	46
2017	2	11	6	3	8	4	2	4	10	6	3	46
2017	2	12	14	7	4	5	2	12	9	7	3	63
2017	2	13	2	3	0	3	1	6	4	7	1	27
2017	2	14	4	0	6	5	4	3	7	7	0	36
2017	2	15	0	3	4	8	1	7	5	4	5	37
2017	2	16	4	1	5	4	5	9	14	2	1	45
2017	2	17	5	3	4	5	5	3	5	7	0	37
2017	2	18	9	8	2	5	4	7	10	13	1	59
2017	2	19	7	9	6	3	5	11	9	14	1	65
2017	2	20	1	3	1	4	3	7	8	8	4	39
2017	2	21	3	2	1	6	6	4	10	5	1	38
2017	2	22	2	0	5	2	5	3	5	5	4	31
2017	2	23	1	1	5	4	8	3	7	4	2	35
2017	2	24	0	0	0	5	2	2	5	4	2	20
2017	2	25	3	7	0	1	13	8	4	11	0	47
2017	2	26	13	7	2	7	6	7	9	13	6	70
2017	2	27	6	2	2	4	3	7	2	4	1	31
2017	2	28	4	2	1	8	8	5	9	10	3	50
2017	3	0	117	86	95	162	110	161	191	172	63	1157
2017	3	1	5	2	3	2	1	3	5	6	2	29
2017	3	2	3	3	0	9	2	4	4	5	1	31
2017	3	3	5	1	3	4	2	5	5	4	2	31
2017	3	4	3	1	5	4	3	4	4	7	3	34
2017	3	5	11	3	2	7	2	4	2	7	0	38
2017	3	6	3	2	2	5	2	7	4	3	2	30
2017	3	7	1	1	5	6	3	3	7	2	3	31
2017	3	8	5	4	2	3	4	6	3	4	1	32
2017	3	9	0	0	7	4	2	8	13	8	2	44
2017	3	10	4	2	4	7	6	2	9	2	4	40
2017	3	11	3	4	2	9	9	6	2	7	1	43
2017	3	12	8	10	2	3	3	6	9	8	2	51
2017	3	13	6	5	2	2	6	6	9	5	1	42
2017	3	14	2	3	2	2	3	7	4	2	2	27
2017	3	15	2	2	2	3	2	4	5	6	0	26
