departamento	population
bogota	7980001
antioquia	6534764
valle del cauca	4613377
cundinamarca	2680041
atlantico	2461001
bolivar	2097086
santander	2061095
narino	1744275
cordoba	1709603
tolima	1408274
cauca	1379070
norte de santander	1355723
boyaca	1276367
magdalena	1259667
huila	1154804
cesar	1028880
caldas	988003
meta	961292
la guajira	957814
risaralda	951945
sucre	851526
quindio	565266
choco	500076
caqueta	477619
casanare	356438
putumayo	345204
arauca	262315
guaviare	111060
san andres y providencia	76442
amazonas	76243
vichada	71974
vaupes	43665
guainia	41482
