year	month	day	00:00-2:59	3:00-5:59	6:00-8:59	9:00-11:59	12:00-14:59	15:00-17:59	18:00-20:59	21:00-23:59	Sin dato	Total General
2017	0	0	9	4	15	24	6	14	17	10	70	169
2017	1	0	2	0	1	1	0	1	1	0	6	12
2017	1	1	0	0	0	1	0	0	1	0	0	2
2017	1	2	0	0	1	0	0	0	0	0	0	1
2017	1	3	0	0	0	0	0	0	0	0	1	1
2017	1	8	0	0	0	0	0	0	0	0	2	2
2017	1	18	0	0	0	0	0	1	0	0	1	2
2017	1	23	1	0	0	0	0	0	0	0	0	1
2017	1	26	0	0	0	0	0	0	0	0	1	1
2017	1	27	1	0	0	0	0	0	0	0	0	1
2017	1	28	0	0	0	0	0	0	0	0	1	1
2017	2	0	0	0	1	0	1	1	1	0	2	6
2017	2	4	0	0	0	0	0	1	0	0	0	1
2017	2	7	0	0	0	0	0	0	0	0	1	1
2017	2	10	0	0	0	0	0	0	0	0	1	1
2017	2	17	0	0	0	0	0	0	1	0	0	1
2017	2	18	0	0	1	0	0	0	0	0	0	1
2017	2	27	0	0	0	0	1	0	0	0	0	1
2017	3	0	2	0	2	2	0	0	1	2	6	15
2017	3	5	1	0	0	0	0	0	0	0	0	1
2017	3	8	0	0	0	0	0	0	0	0	1	1
2017	3	14	0	0	0	0	0	0	0	0	1	1
2017	3	15	0	0	0	0	0	0	0	0	1	1
2017	3	17	0	0	1	0	0	0	0	0	0	1
2017	3	19	0	0	0	1	0	0	0	0	1	2
2017	3	22	0	0	0	0	0	0	0	1	0	1
2017	3	23	0	0	0	0	0	0	1	0	2	3
2017	3	24	0	0	1	0	0	0	0	1	0	2
2017	3	27	1	0	0	0	0	0	0	0	0	1
2017	3	31	0	0	0	1	0	0	0	0	0	1
2017	4	0	0	0	1	1	0	1	10	0	4	17
2017	4	1	0	0	0	0	0	0	9	0	0	9
2017	4	2	0	0	0	0	0	0	0	0	1	1
2017	4	6	0	0	0	0	0	1	0	0	0	1
2017	4	10	0	0	0	0	0	0	0	0	1	1
2017	4	11	0	0	0	0	0	0	0	0	1	1
2017	4	18	0	0	0	0	0	0	0	0	1	1
2017	4	20	0	0	1	0	0	0	0	0	0	1
2017	4	27	0	0	0	1	0	0	0	0	0	1
2017	4	30	0	0	0	0	0	0	1	0	0	1
2017	5	0	0	0	2	2	0	3	3	0	8	18
2017	5	2	0	0	0	0	0	0	0	0	1	1
2017	5	3	0	0	0	1	0	0	0	0	0	1
2017	5	5	0	0	1	0	0	0	0	0	0	1
2017	5	7	0	0	0	0	0	0	1	0	0	1
2017	5	16	0	0	0	0	0	0	1	0	0	1
2017	5	17	0	0	0	0	0	1	0	0	0	1
2017	5	18	0	0	0	0	0	1	0	0	2	3
2017	5	23	0	0	0	0	0	0	0	0	2	2
2017	5	24	0	0	1	0	0	0	0	0	0	1
2017	5	26	0	0	0	1	0	0	0	0	1	2
2017	5	27	0	0	0	0	0	1	0	0	1	2
2017	5	28	0	0	0	0	0	0	0	0	1	1
2017	5	29	0	0	0	0	0	0	1	0	0	1
2017	6	0	0	0	1	0	0	3	0	1	3	8
2017	6	2	0	0	0	0	0	1	0	0	0	1
2017	6	5	0	0	1	0	0	1	0	0	0	2
2017	6	11	0	0	0	0	0	1	0	0	0	1
2017	6	15	0	0	0	0	0	0	0	0	1	1
2017	6	17	0	0	0	0	0	0	0	0	1	1
2017	6	26	0	0	0	0	0	0	0	1	0	1
2017	6	30	0	0	0	0	0	0	0	0	1	1
2017	7	0	2	0	0	7	0	0	0	1	7	17
2017	7	4	0	0	0	0	0	0	0	0	1	1
2017	7	8	0	0	0	0	0	0	0	0	1	1
2017	7	9	0	0	0	0	0	0	0	0	1	1
2017	7	10	1	0	0	0	0	0	0	0	0	1
2017	7	12	0	0	0	5	0	0	0	0	1	6
2017	7	14	0	0	0	1	0	0	0	0	0	1
2017	7	18	0	0	0	0	0	0	0	0	1	1
2017	7	19	0	0	0	0	0	0	0	0	1	1
2017	7	20	0	0	0	0	0	0	0	0	1	1
2017	7	27	1	0	0	0	0	0	0	0	0	1
2017	7	29	0	0	0	1	0	0	0	1	0	2
2017	8	0	1	1	2	3	3	0	0	2	11	23
2017	8	1	0	0	0	0	0	0	0	0	1	1
2017	8	2	1	0	0	0	0	0	0	0	0	1
2017	8	5	0	1	0	0	0	0	0	0	2	3
2017	8	8	0	0	0	0	1	0	0	0	0	1
2017	8	10	0	0	2	0	0	0	0	0	0	2
2017	8	12	0	0	0	0	0	0	0	0	1	1
2017	8	16	0	0	0	0	0	0	0	0	1	1
2017	8	17	0	0	0	0	0	0	0	1	1	2
2017	8	19	0	0	0	1	1	0	0	0	0	2
2017	8	20	0	0	0	1	0	0	0	0	0	1
2017	8	24	0	0	0	0	0	0	0	0	1	1
2017	8	25	0	0	0	0	1	0	0	0	0	1
2017	8	28	0	0	0	0	0	0	0	0	1	1
2017	8	29	0	0	0	0	0	0	0	1	2	3
2017	8	30	0	0	0	0	0	0	0	0	1	1
2017	8	31	0	0	0	1	0	0	0	0	0	1
2017	9	0	0	1	4	0	2	2	1	0	6	16
2017	9	6	0	1	0	0	0	0	0	0	0	1
2017	9	8	0	0	0	0	0	0	0	0	1	1
2017	9	9	0	0	0	0	0	0	1	0	0	1
2017	9	10	0	0	0	0	0	1	0	0	0	1
2017	9	20	0	0	0	0	0	0	0	0	2	2
2017	9	24	0	0	3	0	0	0	0	0	0	3
2017	9	26	0	0	0	0	1	0	0	0	1	2
2017	9	27	0	0	0	0	1	0	0	0	1	2
2017	9	28	0	0	1	0	0	0	0	0	1	2
2017	9	30	0	0	0	0	0	1	0	0	0	1
2017	10	0	1	0	0	6	0	1	0	3	3	14
2017	10	2	0	0	0	0	0	0	0	0	1	1
2017	10	5	0	0	0	6	0	0	0	0	0	6
2017	10	7	0	0	0	0	0	0	0	1	0	1
2017	10	10	0	0	0	0	0	0	0	1	0	1
2017	10	14	0	0	0	0	0	1	0	0	0	1
2017	10	20	0	0	0	0	0	0	0	1	0	1
2017	10	23	0	0	0	0	0	0	0	0	1	1
2017	10	29	0	0	0	0	0	0	0	0	1	1
2017	10	30	1	0	0	0	0	0	0	0	0	1
2017	11	0	1	1	0	1	0	0	0	0	11	14
2017	11	3	0	0	0	1	0	0	0	0	0	1
2017	11	5	0	0	0	0	0	0	0	0	1	1
2017	11	6	0	0	0	0	0	0	0	0	1	1
2017	11	10	0	0	0	0	0	0	0	0	1	1
2017	11	12	0	0	0	0	0	0	0	0	1	1
2017	11	18	0	0	0	0	0	0	0	0	3	3
2017	11	23	0	0	0	0	0	0	0	0	2	2
2017	11	26	1	0	0	0	0	0	0	0	2	3
2017	11	27	0	1	0	0	0	0	0	0	0	1
2017	12	0	0	1	1	1	0	2	0	1	3	9
2017	12	2	0	0	0	0	0	0	0	1	0	1
2017	12	8	0	1	0	0	0	0	0	0	0	1
2017	12	14	0	0	1	0	0	0	0	0	0	1
2017	12	15	0	0	0	0	0	0	0	0	2	2
2017	12	21	0	0	0	0	0	1	0	0	0	1
2017	12	22	0	0	0	0	0	0	0	0	1	1
2017	12	23	0	0	0	0	0	1	0	0	0	1
2017	12	26	0	0	0	1	0	0	0	0	0	1
2018	0	0	19	12	20	15	16	11	9	11	115	228
2018	1	0	1	1	3	2	0	0	1	1	8	17
2018	1	9	1	0	0	0	0	0	0	0	0	1
2018	1	19	0	1	0	0	0	0	1	0	0	2
2018	1	20	0	0	0	0	0	0	0	0	2	2
2018	1	25	0	0	0	0	0	0	0	0	4	4
2018	1	26	0	0	0	0	0	0	0	1	1	2
2018	1	27	0	0	0	2	0	0	0	0	0	2
2018	1	30	0	0	1	0	0	0	0	0	0	1
2018	1	31	0	0	2	0	0	0	0	0	1	3
2018	2	0	0	0	1	0	2	2	0	1	5	11
2018	2	2	0	0	0	0	0	0	0	0	1	1
2018	2	4	0	0	0	0	0	0	0	0	1	1
2018	2	6	0	0	0	0	0	0	0	0	1	1
2018	2	7	0	0	0	0	1	0	0	0	0	1
2018	2	11	0	0	0	0	0	1	0	0	0	1
2018	2	12	0	0	1	0	0	0	0	0	0	1
2018	2	19	0	0	0	0	0	0	0	0	2	2
2018	2	24	0	0	0	0	1	0	0	0	0	1
2018	2	25	0	0	0	0	0	1	0	0	0	1
2018	2	28	0	0	0	0	0	0	0	1	0	1
2018	3	0	1	2	1	2	0	1	1	2	19	29
2018	3	3	0	0	0	0	0	0	0	1	0	1
2018	3	5	1	0	0	0	0	0	0	0	1	2
2018	3	6	0	1	0	0	0	0	1	0	6	8
2018	3	8	0	0	0	0	0	0	0	0	1	1
2018	3	10	0	0	0	1	0	0	0	0	0	1
2018	3	12	0	0	0	0	0	0	0	0	1	1
2018	3	14	0	0	0	0	0	0	0	0	1	1
2018	3	16	0	0	0	0	0	0	0	0	1	1
2018	3	18	0	0	0	0	0	0	0	1	0	1
2018	3	19	0	1	1	0	0	0	0	0	5	7
2018	3	26	0	0	0	0	0	0	0	0	1	1
2018	3	27	0	0	0	0	0	0	0	0	1	1
2018	3	28	0	0	0	1	0	0	0	0	0	1
2018	3	31	0	0	0	0	0	1	0	0	1	2
2018	4	0	1	0	3	1	1	3	0	0	9	18
2018	4	1	0	0	0	0	0	1	0	0	1	2
2018	4	3	0	0	0	0	1	0	0	0	0	1
2018	4	5	0	0	0	0	0	1	0	0	0	1
2018	4	8	0	0	0	0	0	0	0	0	1	1
2018	4	13	0	0	0	0	0	0	0	0	2	2
2018	4	16	0	0	0	0	0	0	0	0	1	1
2018	4	18	1	0	0	1	0	0	0	0	1	3
2018	4	19	0	0	3	0	0	0	0	0	0	3
2018	4	24	0	0	0	0	0	0	0	0	2	2
2018	4	26	0	0	0	0	0	1	0	0	0	1
2018	4	29	0	0	0	0	0	0	0	0	1	1
2018	5	0	0	3	2	2	0	0	1	1	12	21
2018	5	3	0	0	0	0	0	0	0	1	0	1
2018	5	6	0	0	0	0	0	0	0	0	3	3
2018	5	10	0	2	0	0	0	0	0	0	0	2
2018	5	13	0	1	2	0	0	0	0	0	1	4
2018	5	15	0	0	0	0	0	0	0	0	3	3
2018	5	24	0	0	0	0	0	0	1	0	0	1
2018	5	25	0	0	0	2	0	0	0	0	0	2
2018	5	27	0	0	0	0	0	0	0	0	4	4
2018	5	28	0	0	0	0	0	0	0	0	1	1
2018	6	0	12	1	1	1	0	0	0	1	7	23
2018	6	1	0	0	0	0	0	0	0	1	0	1
2018	6	2	0	1	0	0	0	0	0	0	0	1
2018	6	3	0	0	0	0	0	0	0	0	1	1
