Ocupacion y Oficio	casos
OFICIOS VARIOS	49
AGRICULTOR	34
GUERRILLERO	18
ALBANILES, OFICIALES Y AYUDANTES DE LA CONSTRUCCIÃ“N	13
VENDEDOR AMBULANTES Y OTROS	13
DELINCUENTE	11
ESTUDIANTE	11
COMERCIANTE	7
JORNALERO Y TRABAJADORES DE FINCA	7
MILITAR DEL EJERCITO DE COLOMBIA	6
CONDUCTOR	5
INDEPENDIENTE	5
SEGURIDAD PRIVADA	4
AMA DE CASA	3
OBRERO	3
PISCICULTOR	2
ELECTRICISTA	2
EMPLEADO	2
PARAMILITAR	2
LAVAMOTO	2
MECANICO	2
MOTOTAXISTA	2
PELUQUERO	2
PESCADOR	2
PINTOR	2
ZAPATEROS Y SOLADORES	2
ARRIERO	1
ARTESANO	1
ASERRADOR DE MADERA	1
CARRETILLERO	1
COBRADOR PAGADIARIO	1
COTERO	1
DOCENTE	1
FABRICANTE DE CALZADO	1
GALLERO	1
GANADERO	1
MENDIGO	1
MENSAJERO	1
MINERIA	1
MODELO	1
PALERO DE VOLQUETAS	1
PENSIONADO	1
PINTOR AUTOMOTRIZ	1
PLATANERO	1
RASPACHIN	1
RECICLADOR	1
TRABAJADOR (A) SEXUAL	1
DESEMPLEADO	38
NO APLICA	9
SIN DATO	118
